desc_distrito_local,desc_epigrafe,count_2015,count_2018,diff_perc,diff
ARGANZUELA,COMERCIO AL POR MAYOR DE JUGUETES Y ARTICULOS DE DEPORTE,1,1,0,0
ARGANZUELA,"COMERCIO AL POR MAYOR DE LIBROS, PERIODICOS, REVISTAS, PAPELERIA Y ESCRITORIO",9,8,-11.11111111111111,-1
ARGANZUELA,"COMERCIO AL POR MAYOR DE MAQUINARIA, EQUIPO DE  OFICINA Y SUMINISTROS",35,31,-11.428571428571429,-4
ARGANZUELA,COMERCIO AL POR MAYOR DE MATERIAL Y APARATOS ELECTRONICOS PARA LAS TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES,8,4,-50,-4
ARGANZUELA,"COMERCIO AL POR MAYOR DE METALES FERREOS Y NO FERREOS, MATERIAL DE CONSTRUCCION, PAPEL Y CARTON",9,9,0,0
ARGANZUELA,"COMERCIO AL POR MAYOR DE METALES PRECIOSOS, JOYERIA Y RELOJERIA",6,6,0,0
ARGANZUELA,COMERCIO AL POR MAYOR DE OTROS ARTICULOS DE USO DOMESTICO N.C.O.P.,8,8,0,0
ARGANZUELA,COMERCIO AL POR MAYOR DE OTROS PRODUCTOS ALIMENTICIOS,2,1,-50,-1
ARGANZUELA,"COMERCIO AL POR MAYOR DE PERFUMERIA,COSMETICA, DROGUERIA Y LIMPIEZA",6,6,0,0
ARGANZUELA,"COMERCIO AL POR MAYOR DE PORCELANA, CRISTALERIA Y ARTICULOS DE LIMPIEZA",4,4,0,0
ARGANZUELA,"COMERCIO AL POR MAYOR DE PRENDAS DE VESTIR, CALZADO Y ARTICULOS DE CUERO",6,5,-16.666666666666664,-1
ARGANZUELA,COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS,8,8,0,0
ARGANZUELA,"COMERCIO AL POR MAYOR FRUTAS, VERDURAS Y DERIVADOS",2,1,-50,-1
ARGANZUELA,"COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",35,29,-17.142857142857142,-6
ARGANZUELA,"COMERCIO AL POR MENOR DE ALFOMBRAS, MOQUETAS Y REVESTIMIENTOS DE PAREDES Y SUELOS EN ESTABLECIMIENTOS ESPECIALIZADOS",8,8,0,0
ARGANZUELA,COMERCIO AL POR MENOR DE APARATOS DE ILUMINACION,2,2,0,0
ARGANZUELA,COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA,30,28,-6.666666666666667,-2
ARGANZUELA,COMERCIO AL POR MENOR DE ARTICULOS DE PERFUMERIA Y COSMETICA,32,36,12.5,4
ARGANZUELA,COMERCIO AL POR MENOR DE ARTICULOS DE SEGUNDA MANO,11,9,-18.181818181818183,-2
ARGANZUELA,COMERCIO AL POR MENOR DE ARTICULOS DE USO DOMESTICO EN ESTABLECIMIENTO ESPECIALIZADO,14,15,7.142857142857142,1
ARGANZUELA,COMERCIO AL POR MENOR DE ARTICULOS DEPORTIVOS,15,14,-6.666666666666667,-1
